gene_id,gene_symbol,typeofgene,mito,length,intron_count,exon_count,fpkm
8647,ABCB11,mRNA,0,5198,0,0,0
5244,ABCB4,mRNA,0,5534,0,0,0
340273,ABCB5,mRNA,0,9117,1,0,0
10058,ABCB6,mRNA,0,3018,0,0,0
22,ABCB7,mRNA,0,2528,0,0,0
11194,ABCB8,mRNA,0,4735,0,0,0
23457,ABCB9,mRNA,0,7426,1,0,0
4363,ABCC1,mRNA,0,6718,0,0,0
89845,ABCC10,mRNA,0,6672,0,0,0
85320,ABCC11,mRNA,0,5130,0,0,0
94160,ABCC12,mRNA,0,5168,0,0,0
150000,ABCC13,NA,0,3053,0,0,0
1244,ABCC2,mRNA,0,6212,0,0,0
8714,ABCC3,mRNA,0,5673,0,0,0
10257,ABCC4,mRNA,0,6652,3,0,0
10057,ABCC5,mRNA,0,8056,17,0,0
100873982,ABCC5-AS1,ncRNA,0,469,0,0,0
368,ABCC6,mRNA,0,6248,0,0,0
653190,ABCC6P1,NA,0,2728,1,0,0
730013,ABCC6P2,NA,0,706,0,0,0
6833,ABCC8,mRNA,0,5222,0,0,0
10060,ABCC9,mRNA,0,9459,0,0,0
215,ABCD1,mRNA,0,3737,0,0,0
23785,ABCD1P1,NA,0,1605,0,0,0
26983,ABCD1P2,NA,0,1603,0,0,0
26982,ABCD1P3,NA,0,793,0,0,0
26957,ABCD1P4,NA,0,4177,0,0,0
642762,ABCD1P5,NA,0,3768,0,0,0
225,ABCD2,mRNA,0,8245,0,0,0
5825,ABCD3,mRNA,0,4439,0,0,0
5826,ABCD4,mRNA,0,3774,0,0,0
6059,ABCE1,mRNA,0,4194,0,0,0
23,ABCF1,mRNA,0,3464,0,0,0
10061,ABCF2,mRNA,0,5279,0,0,0
344653,ABCF2P1,NA,0,1931,0,0,0
100422059,ABCF2P2,NA,0,1038,0,0,0
55324,ABCF3,mRNA,0,3050,0,0,0
9619,ABCG1,mRNA,0,10847,0,848,209.95
9429,ABCG2,mRNA,0,5093,0,0,0
64137,ABCG4,mRNA,0,4486,0,0,0
64240,ABCG5,mRNA,0,4051,0,0,0
64241,ABCG8,mRNA,0,6797,0,0,0
84696,ABHD1,mRNA,0,1658,0,0,0
55347,ABHD10,mRNA,0,3431,0,0,0
83451,ABHD11,mRNA,0,2048,0,0,0
171022,ABHD11-AS1,ncRNA,0,473,0,0,0
26090,ABHD12,mRNA,0,3122,0,0,0
145447,ABHD12B,mRNA,0,2143,0,0,0
84945,ABHD13,mRNA,0,5394,0,0,0
25864,ABHD14A,mRNA,0,1108,0,0,0
100526760,ABHD14A-ACY1,ncRNA,0,1879,0,0,0
84836,ABHD14B,mRNA,0,2437,0,0,0
116236,ABHD15,mRNA,0,3365,0,0,0
7920,ABHD16A,mRNA,0,2481,0,0,0
140701,ABHD16B,mRNA,0,1776,0,0,0
81926,ABHD17A,mRNA,0,5973,0,9,4.05
728917,ABHD17AP1,NA,0,1484,0,0,0
648359,ABHD17AP3,NA,0,1513,0,0,0
729495,ABHD17AP4,NA,0,1503,0,0,0
91219,ABHD17AP5,NA,0,525,0,0,0
644988,ABHD17AP6,NA,0,1462,0,0,0
100133212,ABHD17AP7,NA,0,2940,0,0,0
647144,ABHD17AP8,NA,0,2934,0,0,0
100132251,ABHD17AP9,NA,0,3156,0,0,0
51104,ABHD17B,mRNA,0,3723,0,0,0
58489,ABHD17C,mRNA,0,2360,0,0,0
11057,ABHD2,mRNA,0,9191,0,393,114.83
171586,ABHD3,mRNA,0,2876,1,0,0
63874,ABHD4,mRNA,0,3266,0,0,0
51099,ABHD5,mRNA,0,5601,0,0,0
57406,ABHD6,mRNA,0,2491,127,0,0
79575,ABHD8,mRNA,0,2090,0,0,0
10006,ABI1,mRNA,0,4429,0,0,0
326268,ABI1P1,NA,0,3175,0,0,0
10152,ABI2,mRNA,0,7660,1,0,0
51225,ABI3,mRNA,0,2130,0,0,0
25890,ABI3BP,mRNA,0,6631,0,0,0
25,ABL1,mRNA,0,6152,1,0,0
27,ABL2,mRNA,0,12776,0,0,0
3983,ABLIM1,mRNA,0,10403,0,0,0
84448,ABLIM2,mRNA,0,5608,0,0,0
22885,ABLIM3,mRNA,0,6443,192,0,0
28,ABO,mRNA,0,1579,0,0,0
29,ABR,mRNA,0,9679,0,0,0
137735,ABRA,mRNA,0,2754,0,0,0
58527,ABRACL,mRNA,0,845,0,0,0
29777,ABT1,mRNA,0,2264,0,0,0
100420695,ABT1P1,NA,0,815,0,0,0
80325,ABTB1,mRNA,0,4665,0,0,0
25841,ABTB2,mRNA,0,4903,1,0,0
30,ACAA1,mRNA,0,2113,0,0,0
10449,ACAA2,mRNA,0,1934,0,0,0
31,ACACA,mRNA,0,11650,0,0,0
32,ACACB,mRNA,0,11286,0,0,0
80724,ACAD10,mRNA,0,4107,0,0,0
84129,ACAD11,mRNA,0,3556,0,0,0
27034,ACAD8,mRNA,0,4721,0,0,0
28976,ACAD9,mRNA,0,2883,0,0,0
33,ACADL,mRNA,0,3230,0,0,0
34,ACADM,mRNA,0,2734,0,0,0
35,ACADS,mRNA,0,2087,1,0,0
36,ACADSB,mRNA,0,5941,0,0,0
37,ACADVL,mRNA,0,2613,0,0,0
176,ACAN,mRNA,0,8955,0,0,0
9744,ACAP1,mRNA,0,2530,0,0,0
23527,ACAP2,mRNA,0,7675,7,0,0
116983,ACAP3,mRNA,0,6389,0,0,0
38,ACAT1,mRNA,0,2358,0,0,0
39,ACAT2,mRNA,0,1909,0,0,0
64746,ACBD3,mRNA,0,3565,0,0,0
79777,ACBD4,mRNA,0,3412,0,0,0
91452,ACBD5,mRNA,0,4288,1,0,0
84320,ACBD6,mRNA,0,1818,0,0,0
414149,ACBD7,mRNA,0,3370,0,0,0
84680,ACCS,mRNA,0,3855,0,0,0
390110,ACCSL,mRNA,0,2603,0,0,0
65057,ACD,mRNA,0,2182,0,0,0
1636,ACE,mRNA,0,5418,0,0,0
59272,ACE2,mRNA,0,5288,0,0,0
100129123,ACE3P,NA,0,12794,0,0,0
125981,ACER1,mRNA,0,1534,0,0,0
340485,ACER2,mRNA,0,3536,0,0,0
55331,ACER3,mRNA,0,8941,1,1434,430.72
43,ACHE,mRNA,0,3743,0,0,0
22985,ACIN1,mRNA,0,6865,0,0,0
2532,ACKR1,mRNA,0,2210,0,0,0
1238,ACKR2,mRNA,0,2960,0,0,0
57007,ACKR3,mRNA,0,2588,0,0,0
51554,ACKR4,mRNA,0,2595,0,0,0
47,ACLY,mRNA,0,4555,0,0,0
130013,ACMSD,mRNA,0,1763,0,0,0
48,ACO1,mRNA,0,3677,0,0,0
50,ACO2,mRNA,0,2741,0,0,0
641371,ACOT1,mRNA,0,1937,0,0,0
26027,ACOT11,mRNA,0,3491,0,0,0
134526,ACOT12,mRNA,0,2352,0,0,0
55856,ACOT13,mRNA,0,4395,3,0,0
10965,ACOT2,mRNA,0,2289,0,0,0
122970,ACOT4,mRNA,0,1632,0,0,0
641372,ACOT6,mRNA,0,1761,0,0,0
11332,ACOT7,mRNA,0,2389,1,0,0
10005,ACOT8,mRNA,0,1284,0,0,0
23597,ACOT9,mRNA,0,1736,0,0,0
51,ACOX1,mRNA,0,7920,0,0,0
8309,ACOX2,mRNA,0,2716,0,0,0
8310,ACOX3,mRNA,0,8916,0,0,0
55289,ACOXL,mRNA,0,15643,0,0,0
52,ACP1,mRNA,0,2488,0,0,0
53,ACP2,mRNA,0,2402,0,0,0
54,ACP5,mRNA,0,2167,0,0,0
51205,ACP6,mRNA,0,3744,0,0,0
55,ACPP,mRNA,0,4059,0,0,0
93650,ACPT,mRNA,0,1347,0,0,0
49,ACR,mRNA,0,1370,0,0,0
84519,ACRBP,mRNA,0,1886,0,0,0
93953,ACRC,mRNA,0,3770,0,0,0
56,ACRV1,mRNA,0,1175,0,0,0
23205,ACSBG1,mRNA,0,5098,0,0,0
81616,ACSBG2,mRNA,0,2978,0,0,0
80221,ACSF2,mRNA,0,2791,0,0,0
197322,ACSF3,mRNA,0,8579,0,0,0
2180,ACSL1,mRNA,0,4973,0,0,0
2181,ACSL3,mRNA,0,4391,0,0,0
2182,ACSL4,mRNA,0,5335,0,0,0
51703,ACSL5,mRNA,0,3744,0,0,0
23305,ACSL6,mRNA,0,6916,0,53,20.58
116285,ACSM1,mRNA,0,6218,0,0,0
123876,ACSM2A,mRNA,0,3861,0,0,0
348158,ACSM2B,mRNA,0,3335,0,0,0
6296,ACSM3,mRNA,0,3278,0,0,0
341392,ACSM4,mRNA,0,1743,0,0,0
54988,ACSM5,mRNA,0,2461,0,0,0
100421779,ACSM5P1,NA,0,1511,0,0,0
142827,ACSM6,mRNA,0,2176,0,0,0
84532,ACSS1,mRNA,0,4020,0,0,0
55902,ACSS2,mRNA,0,3283,0,0,0
79611,ACSS3,mRNA,0,5426,0,0,0
58,ACTA1,mRNA,0,1493,0,0,0
59,ACTA2,mRNA,0,1851,406,0,0
100132116,ACTA2-AS1,ncRNA,0,2043,0,0,0
60,ACTB,mRNA,0,2152,1,925,1154.35
345651,ACTBL2,mRNA,0,2794,0,0,0
643309,ACTBP1,NA,0,1391,0,0,0
446207,ACTBP10,NA,0,1728,0,0,0
644220,ACTBP11,NA,0,1791,0,0,0
100462767,ACTBP12,NA,0,441,0,0,0
389120,ACTBP13,NA,0,3962,0,0,0
389976,ACTBP14,NA,0,1089,0,0,0
62,ACTBP2,NA,0,1795,0,2,2.99
63,ACTBP3,NA,0,428,0,0,0
64,ACTBP4,NA,0,1760,0,0,0
66,ACTBP6,NA,0,1760,0,0,0
67,ACTBP7,NA,0,1788,0,0,0
68,ACTBP8,NA,0,1769,0,1,1.52
69,ACTBP9,NA,0,1792,0,0,0
70,ACTC1,mRNA,0,3693,0,0,0
71,ACTG1,mRNA,0,2105,0,0,0
73,ACTG1P1,NA,0,1943,0,0,0
83,ACTG1P10,NA,0,1910,0,0,0
414754,ACTG1P11,NA,0,1909,0,0,0
100418921,ACTG1P12,NA,0,1406,0,0,0
100418920,ACTG1P13,NA,0,808,0,0,0
100418910,ACTG1P14,NA,0,1177,0,0,0
100418951,ACTG1P15,NA,0,1044,0,0,0
100418960,ACTG1P16,NA,0,1346,0,0,0
283693,ACTG1P17,NA,0,1670,0,0,0
100418924,ACTG1P18,NA,0,909,0,0,0
644160,ACTG1P19,NA,0,1163,0,0,0
74,ACTG1P2,NA,0,2102,0,0,0
644961,ACTG1P20,NA,0,2652,0,0,0
100131291,ACTG1P21,NA,0,1012,0,0,0
100131953,ACTG1P22,NA,0,1100,0,0,0
442097,ACTG1P23,NA,0,1090,0,1,2.46
441783,ACTG1P24,NA,0,871,0,0,0
75,ACTG1P3,NA,0,1589,0,0,0
648740,ACTG1P4,NA,0,1988,0,0,0
82,ACTG1P9,NA,0,1650,0,0,0
72,ACTG2,mRNA,0,1331,0,0,0
170487,ACTL10,mRNA,0,2028,0,0,0
86,ACTL6A,mRNA,0,1946,0,0,0
51412,ACTL6B,mRNA,0,1554,0,0,0
10881,ACTL7A,mRNA,0,1528,0,0,0
10880,ACTL7B,mRNA,0,1408,0,0,0
81569,ACTL8,mRNA,0,3318,0,0,0
284382,ACTL9,mRNA,0,1434,0,0,0
87,ACTN1,mRNA,0,4574,0,0,0
161159,ACTN1-AS1,ncRNA,0,599,0,0,0
88,ACTN2,mRNA,0,5114,29,0,0
89,ACTN3,mRNA,0,3331,0,0,0
81,ACTN4,mRNA,0,4117,0,0,0
344978,ACTN4P1,NA,0,1448,0,0,0
391026,ACTN4P2,NA,0,2125,0,0,0
55860,ACTR10,mRNA,0,2463,1,0,0
10121,ACTR1A,mRNA,0,2873,0,0,0
10120,ACTR1B,mRNA,0,2258,0,0,0
10097,ACTR2,mRNA,0,3934,0,0,0
10096,ACTR3,mRNA,0,5883,0,0,0
57180,ACTR3B,mRNA,0,8086,0,0,0
643050,ACTR3BP1,NA,0,1644,0,0,0
440888,ACTR3BP2,NA,0,1338,0,0,0
647156,ACTR3BP3,NA,0,1642,0,0,0
777774,ACTR3BP4,NA,0,1643,0,0,0
399746,ACTR3BP5,NA,0,1646,0,0,0
644773,ACTR3BP6,NA,0,1644,0,0,0
653857,ACTR3C,mRNA,0,9977,4,0,0
100288580,ACTR3P1,NA,0,992,0,0,0
100129013,ACTR3P2,NA,0,1257,0,0,0
100128020,ACTR3P3,NA,0,946,0,0,0
79913,ACTR5,mRNA,0,5822,0,0,0
64431,ACTR6,mRNA,0,2619,0,0,0
100421495,ACTR6P1,NA,0,1071,0,0,0
93973,ACTR8,mRNA,0,4077,0,0,0
139741,ACTRT1,mRNA,0,1442,0,0,0
140625,ACTRT2,mRNA,0,1422,0,0,0
84517,ACTRT3,mRNA,0,2005,0,0,0
90,ACVR1,mRNA,0,3978,1,0,0
91,ACVR1B,mRNA,0,5561,26,0,0
130399,ACVR1C,mRNA,0,9077,0,0,0
92,ACVR2A,mRNA,0,5690,0,0,0
93,ACVR2B,mRNA,0,11631,0,0,0
100128640,ACVR2B-AS1,ncRNA,0,2517,0,0,0
94,ACVRL1,mRNA,0,4485,0,0,0
95,ACY1,mRNA,0,1678,0,0,0
91703,ACY3,mRNA,0,1839,0,0,0
97,ACYP1,mRNA,0,980,20,2,5.48
98,ACYP2,mRNA,0,1224,0,0,0
100,ADA,mRNA,0,1864,0,0,0
132612,ADAD1,mRNA,0,2278,0,0,0
100422386,ADAD1P1,NA,0,1165,0,0,0
100422407,ADAD1P2,NA,0,695,0,0,0
161931,ADAD2,mRNA,0,2531,0,0,0
161823,ADAL,mRNA,0,5042,0,0,0
102,ADAM10,mRNA,0,5034,0,0,0
4185,ADAM11,mRNA,0,5372,0,0,0
8038,ADAM12,mRNA,0,9037,167,0,0
8751,ADAM15,mRNA,0,3450,0,0,0
6868,ADAM17,mRNA,0,3751,2,0,0
8749,ADAM18,mRNA,0,3442,0,0,0
8728,ADAM19,mRNA,0,8946,0,0,0
8759,ADAM1A,NA,0,2840,0,0,0
100420505,ADAM1B,NA,0,1741,0,0,0
2515,ADAM2,mRNA,0,2672,0,0,0
8748,ADAM20,mRNA,0,7061,0,0,0
317760,ADAM20P1,NA,0,3039,0,0,0
100533671,ADAM20P2,NA,0,1592,0,0,0
644325,ADAM20P3,NA,0,2072,0,0,0
8747,ADAM21,mRNA,0,2664,0,0,0
145241,ADAM21P1,NA,0,2049,0,0,0
53616,ADAM22,mRNA,0,10276,1,0,0
8745,ADAM23,mRNA,0,6416,0,98,41.02
646479,ADAM24P,NA,0,2155,0,0,0
10863,ADAM28,mRNA,0,10160,0,0,0
11086,ADAM29,mRNA,0,3804,0,0,0
11085,ADAM30,mRNA,0,2992,0,0,0
203102,ADAM32,mRNA,0,2727,1,0,0
80332,ADAM33,mRNA,0,4211,0,0,0
1587,ADAM3A,NA,0,2768,0,0,0
1596,ADAM3B,NA,0,707,0,0,0
255926,ADAM5,NA,0,1718,0,0,0
8755,ADAM6,NA,0,1843,0,0,0
8756,ADAM7,mRNA,0,4158,0,0,0
101,ADAM8,mRNA,0,4232,0,0,0
8754,ADAM9,mRNA,0,4670,0,0,0
27299,ADAMDEC1,mRNA,0,2438,0,0,0
9510,ADAMTS1,mRNA,0,4651,0,0,0
81794,ADAMTS10,mRNA,0,6312,2,0,0
81792,ADAMTS12,mRNA,0,12432,0,0,0
11093,ADAMTS13,mRNA,0,6218,0,0,0
140766,ADAMTS14,mRNA,0,7597,0,0,0
170689,ADAMTS15,mRNA,0,5916,0,0,0
170690,ADAMTS16,mRNA,0,5053,0,0,0
170691,ADAMTS17,mRNA,0,6590,164,0,0
170692,ADAMTS18,mRNA,0,5921,0,0,0
171019,ADAMTS19,mRNA,0,5434,0,0,0
103689846,ADAMTS19-AS1,ncRNA,0,786,0,0,0
9509,ADAMTS2,mRNA,0,7170,0,0,0
80070,ADAMTS20,mRNA,0,7253,0,0,0
9508,ADAMTS3,mRNA,0,6294,0,0,0
9507,ADAMTS4,mRNA,0,4332,0,0,0
11096,ADAMTS5,mRNA,0,9663,0,0,0
11174,ADAMTS6,mRNA,0,9172,117,0,0
11173,ADAMTS7,mRNA,0,5921,0,0,0
390660,ADAMTS7P1,NA,0,4983,0,0,0
400406,ADAMTS7P3,NA,0,3823,0,0,0
642935,ADAMTS7P4,NA,0,3576,0,0,0
11095,ADAMTS8,mRNA,0,3663,0,0,0
56999,ADAMTS9,mRNA,0,7807,0,0,0
101929335,ADAMTS9-AS1,ncRNA,0,3930,0,0,0
100507098,ADAMTS9-AS2,ncRNA,0,2228,1,0,0
92949,ADAMTSL1,mRNA,0,9333,0,0,0
9719,ADAMTSL2,mRNA,0,4749,0,0,0
57188,ADAMTSL3,mRNA,0,7800,0,0,0
54507,ADAMTSL4,mRNA,0,5879,0,0,0
574406,ADAMTSL4-AS1,ncRNA,0,1036,0,0,0
339366,ADAMTSL5,mRNA,0,2975,0,0,0
11033,ADAP1,mRNA,0,2789,1,0,0
55803,ADAP2,mRNA,0,3023,1,0,0
103,ADAR,mRNA,0,7670,0,0,0
104,ADARB1,mRNA,0,7777,0,0,0
105,ADARB2,mRNA,0,8448,0,0,0
642394,ADARB2-AS1,ncRNA,0,644,0,0,0
23536,ADAT1,mRNA,0,3603,8,0,0
134637,ADAT2,mRNA,0,9529,0,0,0
113179,ADAT3,mRNA,0,1626,0,0,0
57143,ADCK1,mRNA,0,6161,0,12,5.23
90956,ADCK2,mRNA,0,2595,2,0,0
56997,ADCK3,mRNA,0,3423,0,0,0
79934,ADCK4,mRNA,0,3115,0,0,0
203054,ADCK5,mRNA,0,2830,0,0,0
107,ADCY1,mRNA,0,13032,0,0,0
55811,ADCY10,mRNA,0,7612,0,0,0
221442,ADCY10P1,NA,0,4569,0,0,0
108,ADCY2,mRNA,0,6553,2,202,82.78
109,ADCY3,mRNA,0,4838,0,0,0
196883,ADCY4,mRNA,0,3720,0,0,0
111,ADCY5,mRNA,0,7533,0,0,0
112,ADCY6,mRNA,0,7924,0,0,0
113,ADCY7,mRNA,0,7259,0,0,0
114,ADCY8,mRNA,0,5111,0,0,0
115,ADCY9,mRNA,0,8014,1,0,0
116,ADCYAP1,mRNA,0,3773,0,0,0
117,ADCYAP1R1,mRNA,0,6779,1,673,266.62
118,ADD1,mRNA,0,5348,0,162,81.35
119,ADD2,mRNA,0,7142,0,0,0
120,ADD3,mRNA,0,5385,0,0,0
100505933,ADD3-AS1,ncRNA,0,1280,0,0,0
79747,ADGB,mRNA,0,9549,0,0,0
84435,ADGRA1,mRNA,0,9531,0,0,0
100128127,ADGRA1-AS1,ncRNA,0,475,0,0,0
25960,ADGRA2,mRNA,0,6201,0,0,0
166647,ADGRA3,mRNA,0,5906,0,0,0
575,ADGRB1,mRNA,0,5966,0,130,58.52
576,ADGRB2,mRNA,0,5464,0,0,0
577,ADGRB3,mRNA,0,6922,1534,0,0
283383,ADGRD1,mRNA,0,9948,3,0,0
347088,ADGRD2,mRNA,0,3969,0,0,0
2015,ADGRE1,mRNA,0,3520,0,0,0
30817,ADGRE2,mRNA,0,7965,1,0,0
84658,ADGRE3,mRNA,0,2423,0,0,0
326342,ADGRE4P,NA,0,2732,0,0,0
976,ADGRE5,mRNA,0,3492,0,0,0
266977,ADGRF1,mRNA,0,6322,0,0,0
222611,ADGRF2,mRNA,0,5126,0,0,0
165082,ADGRF3,mRNA,0,6689,0,0,0
221393,ADGRF4,mRNA,0,3162,0,0,0
221395,ADGRF5,mRNA,0,6285,0,0,0
389740,ADGRF5P1,NA,0,1347,0,0,0
441416,ADGRF5P2,NA,0,1406,0,0,0
9289,ADGRG1,mRNA,0,5861,0,0,0
10149,ADGRG2,mRNA,0,5186,1,0,0
222487,ADGRG3,mRNA,0,2957,0,0,0
139378,ADGRG4,mRNA,0,10390,0,0,0
221188,ADGRG5,mRNA,0,4137,0,0,0
57211,ADGRG6,mRNA,0,7078,0,0,0
84873,ADGRG7,mRNA,0,3140,0,0,0
22859,ADGRL1,mRNA,0,8301,0,0,0
23266,ADGRL2,mRNA,0,8419,0,0,0
23284,ADGRL3,mRNA,0,12461,1381,0,0
101927186,ADGRL3-AS1,ncRNA,0,467,0,0,0
64123,ADGRL4,mRNA,0,3619,0,0,0
84059,ADGRV1,mRNA,0,19490,0,0,0
124,ADH1A,mRNA,0,1500,0,0,0
125,ADH1B,mRNA,0,2814,0,0,0
126,ADH1C,mRNA,0,1878,0,0,0
127,ADH4,mRNA,0,2255,0,0,0
128,ADH5,mRNA,0,2652,0,0,0
343296,ADH5P2,NA,0,1399,0,0,0
100131810,ADH5P3,NA,0,1388,0,0,0
642443,ADH5P4,NA,0,2592,0,0,0
130,ADH6,mRNA,0,3484,0,0,0
131,ADH7,mRNA,0,2397,0,0,0
137872,ADHFE1,mRNA,0,1895,0,0,0
55256,ADI1,mRNA,0,4616,0,0,0
149685,ADIG,mRNA,0,772,0,0,0
9370,ADIPOQ,mRNA,0,4751,0,0,0
100874095,ADIPOQ-AS1,ncRNA,0,3443,0,0,0
51094,ADIPOR1,mRNA,0,2423,0,0,0
645220,ADIPOR1P1,NA,0,849,0,0,0
390503,ADIPOR1P2,NA,0,854,0,0,0
79602,ADIPOR2,mRNA,0,4184,1,0,0
10974,ADIRF,mRNA,0,672,0,0,0
132,ADK,mRNA,0,2642,1,0,0
133,ADM,mRNA,0,1590,0,0,0
79924,ADM2,mRNA,0,4273,0,0,0
199800,ADM5,mRNA,0,2112,0,0,0
23394,ADNP,mRNA,0,6618,0,0,0
101927631,ADNP-AS1,ncRNA,0,1031,0,0,0
22850,ADNP2,mRNA,0,5686,0,0,0
84890,ADO,mRNA,0,3724,0,0,0
134,ADORA1,mRNA,0,3349,0,0,0
135,ADORA2A,mRNA,0,2957,0,0,0
646023,ADORA2A-AS1,ncRNA,0,3861,0,0,0
136,ADORA2B,mRNA,0,3861,0,0,0
137,ADORA2BP1,NA,0,1327,0,0,0
140,ADORA3,mRNA,0,2309,0,0,0
83440,ADPGK,mRNA,0,2921,0,0,0
100287559,ADPGK-AS1,ncRNA,0,2730,0,0,0
141,ADPRH,mRNA,0,3748,0,705,505.16
113622,ADPRHL1,mRNA,0,2178,0,0,0
54936,ADPRHL2,mRNA,0,1691,0,1,1.59
56985,ADPRM,mRNA,0,1606,1,605,1011.69
148,ADRA1A,mRNA,0,29571,107,0,0
147,ADRA1B,mRNA,0,6167,1,0,0
146,ADRA1D,mRNA,0,2666,0,0,0
150,ADRA2A,mRNA,0,3876,0,0,0
151,ADRA2B,mRNA,0,3371,0,0,0
152,ADRA2C,mRNA,0,1958,0,0,0
153,ADRB1,mRNA,0,2862,0,0,0
154,ADRB2,mRNA,0,2042,0,0,0
155,ADRB3,mRNA,0,2647,0,0,0
156,ADRBK1,mRNA,0,3672,0,0,0
157,ADRBK2,mRNA,0,10820,2,0,0
11047,ADRM1,mRNA,0,2320,0,0,0
158,ADSL,mRNA,0,3981,0,0,0
159,ADSS,mRNA,0,3733,0,0,0
122622,ADSSL1,mRNA,0,2147,0,0,0
84830,ADTRP,mRNA,0,9404,0,0,0
165,AEBP1,mRNA,0,4127,0,0,0
121536,AEBP2,mRNA,0,6190,2,0,0
64782,AEN,mRNA,0,3895,0,0,0
166,AES,mRNA,0,2130,0,0,0
60312,AFAP1,mRNA,0,8051,55,0,0
84740,AFAP1-AS1,ncRNA,0,6795,0,1,0.4
134265,AFAP1L1,mRNA,0,6162,0,0,0
84632,AFAP1L2,mRNA,0,6596,1,0,0
4299,AFF1,mRNA,0,10456,2,0,0
2334,AFF2,mRNA,0,13887,0,0,0
3899,AFF3,mRNA,0,10751,3,0,0
27125,AFF4,mRNA,0,9925,1,0,0
172,AFG3L1P,NA,0,4003,230,0,0
10939,AFG3L2,mRNA,0,3242,0,0,0
347028,AFG3L2P1,NA,0,24758,0,0,0
173,AFM,mRNA,0,1997,0,0,0
125061,AFMID,mRNA,0,2533,0,0,0
174,AFP,mRNA,0,2538,0,0,0
54812,AFTPH,mRNA,0,4124,0,0,0
175,AGA,mRNA,0,2189,1,1590,1950.69
116987,AGAP1,mRNA,0,12593,1492,0,0
100506749,AGAP1-IT1,ncRNA,0,1621,0,0,0
653234,AGAP10P,NA,0,2508,0,0,0
119385,AGAP11,mRNA,0,3155,0,0,0
116986,AGAP2,mRNA,0,6795,0,0,0
100130776,AGAP2-AS1,ncRNA,0,1531,0,0,0
116988,AGAP3,mRNA,0,5900,0,0,0
119016,AGAP4,mRNA,0,3635,0,0,0
729092,AGAP5,mRNA,0,2426,0,0,0
414189,AGAP6,mRNA,0,3280,0,0,0
